Source Country,Country,points,Total
Azerbaijan,Sweden,2,274
Azerbaijan,The Netherlands,0,121
Azerbaijan,Ukraine,14,130
Azerbaijan,United Kingdom,0,48
Belarus,Albania,7,184
Belarus,Australia,2,99
Belarus,Austria,10,342
Belarus,Bulgaria,1,166
Belarus,Cyprus,15,436
Belarus,Czech Republic,11,281
Belarus,Denmark,10,226
Belarus,Estonia,0,245
Belarus,Finland,0,46
Belarus,France,0,173
Belarus,Germany,0,340
Belarus,Hungary,2,93
Belarus,Ireland,0,136
Belarus,Israel,8,529
Belarus,Italy,4,308
Belarus,Lithuania,5,181
Belarus,Moldova,6,209
Belarus,Norway,18,144
Belarus,Portugal,0,39
Belarus,Serbia,0,113
Belarus,Slovenia,4,64
Belarus,Spain,0,61
Belarus,Sweden,1,274
Belarus,The Netherlands,0,121
Belarus,Ukraine,12,130
Belarus,United Kingdom,0,48
Belgium,Albania,2,184
Belgium,Australia,0,99
Belgium,Austria,15,342
Belgium,Bulgaria,0,166
Belgium,Cyprus,11,436
Belgium,Czech Republic,8,281
Belgium,Denmark,5,226
Belgium,Estonia,0,245
Belgium,Finland,0,46
Belgium,France,11,173
Belgium,Germany,7,340
Belgium,Hungary,0,93
Belgium,Ireland,4,136
Belgium,Israel,16,529
Belgium,Italy,6,308
Belgium,Lithuania,0,181
Belgium,Moldova,0,209
Belgium,Norway,0,144
Belgium,Portugal,0,39
Belgium,Serbia,0,113
Belgium,Slovenia,0,64
Belgium,Spain,1,61
Belgium,Sweden,8,274
Belgium,The Netherlands,22,121
Belgium,Ukraine,0,130
Belgium,United Kingdom,0,48
Bulgaria,Albania,7,184
Bulgaria,Australia,0,99
Bulgaria,Austria,16,342
Bulgaria,Bulgaria,0,166
Bulgaria,Cyprus,15,436
Bulgaria,Czech Republic,11,281
Bulgaria,Denmark,0,226
Bulgaria,Estonia,2,245
Bulgaria,Finland,0,46
Bulgaria,France,5,173
Bulgaria,Germany,6,340
Bulgaria,Hungary,5,93
Bulgaria,Ireland,1,136
Bulgaria,Israel,14,529
Bulgaria,Italy,6,308
Bulgaria,Lithuania,10,181
Bulgaria,Moldova,8,209
Bulgaria,Norway,0,144
Bulgaria,Portugal,0,39
Bulgaria,Serbia,7,113
Bulgaria,Slovenia,0,64
Bulgaria,Spain,0,61
Bulgaria,Sweden,2,274
Bulgaria,The Netherlands,0,121
Bulgaria,Ukraine,1,130
Bulgaria,United Kingdom,0,48
Croatia,Albania,5,184
Croatia,Australia,0,99
Croatia,Austria,0,342
Croatia,Bulgaria,8,166
Croatia,Cyprus,8,436
Croatia,Czech Republic,9,281
Croatia,Denmark,2,226
Croatia,Estonia,0,245
Croatia,Finland,0,46
Croatia,France,6,173
Croatia,Germany,3,340
Croatia,Hungary,0,93
Croatia,Ireland,3,136
Croatia,Israel,16,529
Croatia,Italy,10,308
Croatia,Lithuania,12,181
Croatia,Moldova,8,209
Croatia,Norway,5,144
Croatia,Portugal,0,39
Croatia,Serbia,12,113
Croatia,Slovenia,7,64
Croatia,Spain,0,61
Croatia,Sweden,0,274
Croatia,The Netherlands,0,121
Croatia,Ukraine,0,130
Croatia,United Kingdom,2,48
Cyprus,Albania,6,184
Cyprus,Australia,0,99
Cyprus,Austria,2,342
Cyprus,Bulgaria,12,166
Cyprus,Cyprus,0,436
Cyprus,Czech Republic,13,281
Cyprus,Denmark,0,226
Cyprus,Estonia,5,245
Cyprus,Finland,0,46
Cyprus,France,4,173
Cyprus,Germany,3,340
Cyprus,Hungary,4,93
Cyprus,Ireland,0,136
Cyprus,Israel,10,529
Cyprus,Italy,15,308
Cyprus,Lithuania,6,181
Cyprus,Moldova,10,209
Cyprus,Norway,5,144
Cyprus,Portugal,0,39
Cyprus,Serbia,0,113
Cyprus,Slovenia,0,64
Cyprus,Spain,7,61
Cyprus,Sweden,12,274
Cyprus,The Netherlands,0,121
Cyprus,Ukraine,2,130
Cyprus,United Kingdom,0,48
Czech Republic,Albania,6,184
Czech Republic,Australia,0,99
Czech Republic,Austria,5,342
Czech Republic,Bulgaria,5,166
Czech Republic,Cyprus,8,436
Czech Republic,Czech Republic,0,281
Czech Republic,Denmark,7,226
Czech Republic,Estonia,5,245
Czech Republic,Finland,3,46
Czech Republic,France,0,173
Czech Republic,Germany,3,340
Czech Republic,Hungary,2,93
Czech Republic,Ireland,14,136
Czech Republic,Israel,22,529
Czech Republic,Italy,2,308
Czech Republic,Lithuania,1,181
Czech Republic,Moldova,6,209
Czech Republic,Norway,0,144
Czech Republic,Portugal,0,39
Czech Republic,Serbia,0,113
Czech Republic,Slovenia,7,64
Czech Republic,Spain,0,61
Czech Republic,Sweden,8,274
Czech Republic,The Netherlands,0,121
Czech Republic,Ukraine,12,130
Czech Republic,United Kingdom,0,48
Denmark,Albania,0,184
Denmark,Australia,12,99
Denmark,Austria,18,342
Denmark,Bulgaria,1,166
Denmark,Cyprus,6,436
Denmark,Czech Republic,6,281
Denmark,Denmark,0,226
Denmark,Estonia,7,245
Denmark,Finland,0,46
Denmark,France,2,173
Denmark,Germany,24,340
Denmark,Hungary,0,93
Denmark,Ireland,4,136
Denmark,Israel,3,529
Denmark,Italy,0,308
Denmark,Lithuania,0,181
Denmark,Moldova,0,209
Denmark,Norway,8,144
Denmark,Portugal,0,39
Denmark,Serbia,0,113
Denmark,Slovenia,0,64
Denmark,Spain,6,61
Denmark,Sweden,11,274
Denmark,The Netherlands,5,121
Denmark,Ukraine,0,130
Denmark,United Kingdom,3,48
Estonia,Albania,0,184
Estonia,Australia,0,99
Estonia,Austria,18,342
Estonia,Bulgaria,7,166
Estonia,Cyprus,12,436
Estonia,Czech Republic,5,281
Estonia,Denmark,8,226
Estonia,Estonia,0,245
Estonia,Finland,12,46
Estonia,France,0,173
Estonia,Germany,6,340
Estonia,Hungary,3,93
Estonia,Ireland,0,136
Estonia,Israel,0,529
Estonia,Italy,7,308
Estonia,Lithuania,22,181
Estonia,Moldova,1,209
Estonia,Norway,6,144
Estonia,Portugal,3,39
Estonia,Serbia,0,113
Estonia,Slovenia,0,64
Estonia,Spain,0,61
Estonia,Sweden,5,274
Estonia,The Netherlands,1,121
Estonia,Ukraine,0,130
Estonia,United Kingdom,0,48
F.Y.R. Macedonia,Albania,18,184
F.Y.R. Macedonia,Australia,0,99
F.Y.R. Macedonia,Austria,0,342
F.Y.R. Macedonia,Bulgaria,7,166
F.Y.R. Macedonia,Cyprus,18,436
F.Y.R. Macedonia,Czech Republic,9,281
F.Y.R. Macedonia,Denmark,0,226
F.Y.R. Macedonia,Estonia,12,245
F.Y.R. Macedonia,Finland,5,46
F.Y.R. Macedonia,France,0,173
F.Y.R. Macedonia,Germany,3,340
F.Y.R. Macedonia,Hungary,0,93
F.Y.R. Macedonia,Ireland,0,136
F.Y.R. Macedonia,Israel,4,529
F.Y.R. Macedonia,Italy,6,308
F.Y.R. Macedonia,Lithuania,0,181
F.Y.R. Macedonia,Moldova,1,209
F.Y.R. Macedonia,Norway,0,144
F.Y.R. Macedonia,Portugal,0,39
F.Y.R. Macedonia,Serbia,18,113
F.Y.R. Macedonia,Slovenia,4,64
F.Y.R. Macedonia,Spain,0,61
F.Y.R. Macedonia,Sweden,7,274
F.Y.R. Macedonia,The Netherlands,0,121
F.Y.R. Macedonia,Ukraine,4,130
F.Y.R. Macedonia,United Kingdom,0,48
Finland,Albania,0,184
Finland,Australia,0,99
Finland,Austria,10,342
Finland,Bulgaria,10,166
Finland,Cyprus,7,436
Finland,Czech Republic,5,281
Finland,Denmark,13,226
Finland,Estonia,12,245
Finland,Finland,0,46
Finland,France,9,173
Finland,Germany,1,340
Finland,Hungary,8,93
Finland,Ireland,2,136
Finland,Israel,19,529
Finland,Italy,10,308
Finland,Lithuania,0,181
Finland,Moldova,0,209
Finland,Norway,0,144
Finland,Portugal,0,39
Finland,Serbia,0,113
Finland,Slovenia,0,64
Finland,Spain,0,61
Finland,Sweden,8,274
Finland,The Netherlands,2,121
Finland,Ukraine,0,130
Finland,United Kingdom,0,48
France,Albania,0,184
France,Australia,10,99
France,Austria,7,342
France,Bulgaria,0,166
France,Cyprus,3,436
France,Czech Republic,4,281
France,Denmark,2,226
France,Estonia,7,245
France,Finland,0,46
France,France,0,173
France,Germany,8,340
France,Hungary,0,93
France,Ireland,1,136
France,Israel,24,529
France,Italy,10,308
France,Lithuania,0,181
France,Moldova,6,209
France,Norway,0,144
France,Portugal,8,39
France,Serbia,1,113
France,Slovenia,2,64
France,Spain,5,61
France,Sweden,5,274
France,The Netherlands,6,121
France,Ukraine,4,130
France,United Kingdom,3,48
Georgia,Albania,4,184
Georgia,Australia,0,99
Georgia,Austria,9,342
Georgia,Bulgaria,6,166
Georgia,Cyprus,10,436
Georgia,Czech Republic,0,281
Georgia,Denmark,3,226
Georgia,Estonia,16,245
Georgia,Finland,0,46
Georgia,France,4,173
Georgia,Germany,7,340
Georgia,Hungary,0,93
Georgia,Ireland,0,136
Georgia,Israel,15,529
Georgia,Italy,5,308
Georgia,Lithuania,9,181
Georgia,Moldova,3,209
Georgia,Norway,0,144
Georgia,Portugal,0,39
Georgia,Serbia,0,113
Georgia,Slovenia,0,64
Georgia,Spain,0,61
Georgia,Sweden,12,274
Georgia,The Netherlands,5,121
Georgia,Ukraine,8,130
Georgia,United Kingdom,0,48
Germany,Albania,0,184
Germany,Australia,7,99
Germany,Austria,15,342
Germany,Bulgaria,0,166
Germany,Cyprus,9,436
Germany,Czech Republic,8,281
Germany,Denmark,3,226
Germany,Estonia,2,245
Germany,Finland,0,46
Germany,France,0,173
Germany,Germany,0,340
Germany,Hungary,2,93
Germany,Ireland,15,136
Germany,Israel,11,529
Germany,Italy,12,308
Germany,Lithuania,8,181
Germany,Moldova,0,209
Germany,Norway,0,144
Germany,Portugal,0,39
Germany,Serbia,0,113
Germany,Slovenia,0,64
Germany,Spain,6,61
Germany,Sweden,12,274
Germany,The Netherlands,5,121
Germany,Ukraine,0,130
Germany,United Kingdom,1,48
Greece,Albania,17,184
Greece,Australia,0,99
Greece,Austria,0,342
Greece,Bulgaria,5,166
Greece,Cyprus,24,436
Greece,Czech Republic,7,281
Greece,Denmark,0,226
Greece,Estonia,7,245
Greece,Finland,0,46
Greece,France,5,173
Greece,Germany,2,340
Greece,Hungary,6,93
Greece,Ireland,0,136
Greece,Israel,10,529
Greece,Italy,9,308
Greece,Lithuania,0,181
Greece,Moldova,11,209
Greece,Norway,3,144
Greece,Portugal,0,39
Greece,Serbia,2,113
Greece,Slovenia,0,64
Greece,Spain,0,61
Greece,Sweden,8,274
Greece,The Netherlands,0,121
Greece,Ukraine,0,130
Greece,United Kingdom,0,48
Hungary,Albania,10,184
Hungary,Australia,7,99
Hungary,Austria,11,342
Hungary,Bulgaria,0,166
Hungary,Cyprus,7,436
Hungary,Czech Republic,8,281
Hungary,Denmark,24,226
Hungary,Estonia,0,245
Hungary,Finland,0,46
Hungary,France,0,173
Hungary,Germany,1,340
Hungary,Hungary,0,93
Hungary,Ireland,3,136
Hungary,Israel,16,529
Hungary,Italy,6,308
Hungary,Lithuania,5,181
Hungary,Moldova,2,209
Hungary,Norway,7,144
Hungary,Portugal,0,39
Hungary,Serbia,0,113
Hungary,Slovenia,0,64
Hungary,Spain,0,61
Hungary,Sweden,1,274
Hungary,The Netherlands,8,121
Hungary,Ukraine,0,130
Hungary,United Kingdom,0,48
Iceland,Albania,10,184
Iceland,Australia,0,99
Iceland,Austria,17,342
Iceland,Bulgaria,0,166
Iceland,Cyprus,3,436
Iceland,Czech Republic,11,281
Iceland,Denmark,12,226
Iceland,Estonia,7,245
Iceland,Finland,3,46
Iceland,France,9,173
Iceland,Germany,14,340
Iceland,Hungary,0,93
Iceland,Ireland,4,136
Iceland,Israel,15,529
Iceland,Italy,0,308
Iceland,Lithuania,0,181
Iceland,Moldova,0,209
Iceland,Norway,4,144
Iceland,Portugal,0,39
Iceland,Serbia,0,113
Iceland,Slovenia,0,64
Iceland,Spain,0,61
Iceland,Sweden,7,274
Iceland,The Netherlands,0,121
Iceland,Ukraine,0,130
Iceland,United Kingdom,0,48
Ireland,Albania,2,184
Ireland,Australia,0,99
Ireland,Austria,5,342
Ireland,Bulgaria,10,166
Ireland,Cyprus,17,436
Ireland,Czech Republic,7,281
Ireland,Denmark,2,226
Ireland,Estonia,7,245
Ireland,Finland,0,46
Ireland,France,4,173
Ireland,Germany,16,340
Ireland,Hungary,0,93
Ireland,Ireland,0,136
Ireland,Israel,13,529
Ireland,Italy,0,308
Ireland,Lithuania,12,181
Ireland,Moldova,1,209
Ireland,Norway,0,144
Ireland,Portugal,6,39
Ireland,Serbia,0,113
Ireland,Slovenia,0,64
Ireland,Spain,1,61
Ireland,Sweden,0,274
Ireland,The Netherlands,3,121
Ireland,Ukraine,0,130
Ireland,United Kingdom,10,48
Israel,Albania,0,184
Israel,Australia,7,99
Israel,Austria,13,342
Israel,Bulgaria,1,166
Israel,Cyprus,2,436
Israel,Czech Republic,12,281
Israel,Denmark,6,226
Israel,Estonia,8,245
Israel,Finland,6,46
Israel,France,6,173
Israel,Germany,8,340
Israel,Hungary,3,93
Israel,Ireland,0,136
Israel,Israel,0,529
Israel,Italy,5,308
Israel,Lithuania,0,181
Israel,Moldova,10,209
Israel,Norway,0,144
Israel,Portugal,0,39
Israel,Serbia,0,113
Israel,Slovenia,4,64
Israel,Spain,0,61
Israel,Sweden,10,274
Israel,The Netherlands,0,121
Israel,Ukraine,7,130
Israel,United Kingdom,8,48
Italy,Albania,12,184
Italy,Australia,0,99
Italy,Austria,7,342
Italy,Bulgaria,0,166
Italy,Cyprus,8,436
Italy,Czech Republic,0,281
Italy,Denmark,12,226
Italy,Estonia,10,245
Italy,Finland,0,46
Italy,France,0,173
Italy,Germany,13,340
Italy,Hungary,2,93
Italy,Ireland,5,136
Italy,Israel,9,529
Italy,Italy,0,308
Italy,Lithuania,0,181
Italy,Moldova,10,209
Italy,Norway,12,144
Italy,Portugal,0,39
Italy,Serbia,1,113
Italy,Slovenia,0,64
Italy,Spain,0,61
Italy,Sweden,1,274
Italy,The Netherlands,0,121
Italy,Ukraine,8,130
Italy,United Kingdom,6,48
Latvia,Albania,0,184
Latvia,Australia,6,99
Latvia,Austria,7,342
Latvia,Bulgaria,0,166
Latvia,Cyprus,1,436
Latvia,Czech Republic,4,281
Latvia,Denmark,5,226
Latvia,Estonia,18,245
Latvia,Finland,0,46
Latvia,France,10,173
Latvia,Germany,3,340
Latvia,Hungary,0,93
Latvia,Ireland,0,136
Latvia,Israel,8,529
Latvia,Italy,6,308
Latvia,Lithuania,16,181
Latvia,Moldova,7,209
Latvia,Norway,2,144
Latvia,Portugal,0,39
Latvia,Serbia,0,113
Latvia,Slovenia,1,64
Latvia,Spain,0,61
Latvia,Sweden,12,274
Latvia,The Netherlands,5,121
Latvia,Ukraine,3,130
Latvia,United Kingdom,2,48
Lithuania,Albania,0,184
Lithuania,Australia,0,99
Lithuania,Austria,15,342
Lithuania,Bulgaria,0,166
Lithuania,Cyprus,7,436
Lithuania,Czech Republic,8,281
Lithuania,Denmark,10,226
Lithuania,Estonia,12,245
Lithuania,Finland,0,46
Lithuania,France,15,173
Lithuania,Germany,7,340
Lithuania,Hungary,2,93
Lithuania,Ireland,4,136
Lithuania,Israel,7,529
Lithuania,Italy,7,308
Lithuania,Lithuania,0,181
Lithuania,Moldova,0,209
Lithuania,Norway,0,144
Lithuania,Portugal,7,39
Lithuania,Serbia,0,113
Lithuania,Slovenia,0,64
Lithuania,Spain,0,61
Lithuania,Sweden,12,274
Lithuania,The Netherlands,3,121
Lithuania,Ukraine,0,130
Lithuania,United Kingdom,0,48
Malta,Albania,0,184
Malta,Australia,9,99
Malta,Austria,1,342
Malta,Bulgaria,9,166
Malta,Cyprus,22,436
Malta,Czech Republic,8,281
Malta,Denmark,2,226
Malta,Estonia,0,245
Malta,Finland,0,46
Malta,France,8,173
Malta,Germany,4,340
Malta,Hungary,0,93
Malta,Ireland,0,136
Malta,Israel,14,529
Malta,Italy,22,308
Malta,Lithuania,5,181
Malta,Moldova,0,209
Malta,Norway,4,144
Malta,Portugal,0,39
Malta,Serbia,0,113
Malta,Slovenia,0,64
Malta,Spain,0,61
Malta,Sweden,7,274
Malta,The Netherlands,0,121
Malta,Ukraine,0,130
Malta,United Kingdom,1,48
Moldova,Albania,0,184
Moldova,Australia,7,99
Moldova,Austria,3,342
Moldova,Bulgaria,11,166
Moldova,Cyprus,13,436
Moldova,Czech Republic,6,281
Moldova,Denmark,0,226
Moldova,Estonia,13,245
Moldova,Finland,0,46
Moldova,France,0,173
Moldova,Germany,8,340
Moldova,Hungary,2,93
Moldova,Ireland,0,136
Moldova,Israel,22,529
Moldova,Italy,8,308
Moldova,Lithuania,0,181
Moldova,Moldova,0,209
Moldova,Norway,7,144
Moldova,Portugal,0,39
Moldova,Serbia,0,113
Moldova,Slovenia,0,64
Moldova,Spain,0,61
Moldova,Sweden,0,274
Moldova,The Netherlands,1,121
Moldova,Ukraine,15,130
Moldova,United Kingdom,0,48
Montenegro,Albania,20,184
Montenegro,Australia,0,99
Montenegro,Austria,0,342
Montenegro,Bulgaria,4,166
Montenegro,Cyprus,6,436
Montenegro,Czech Republic,0,281
Montenegro,Denmark,6,226
Montenegro,Estonia,5,245
Montenegro,Finland,0,46
Montenegro,France,0,173
Montenegro,Germany,0,340
Montenegro,Hungary,3,93
Montenegro,Ireland,0,136
Montenegro,Israel,1,529
Montenegro,Italy,12,308
Montenegro,Lithuania,0,181
Montenegro,Moldova,8,209
Montenegro,Norway,7,144
Montenegro,Portugal,0,39
Montenegro,Serbia,24,113
Montenegro,Slovenia,6,64
Montenegro,Spain,0,61
Montenegro,Sweden,2,274
Montenegro,The Netherlands,3,121
Montenegro,Ukraine,7,130
Montenegro,United Kingdom,2,48
Norway,Albania,0,184
Norway,Australia,6,99
Norway,Austria,16,342
Norway,Bulgaria,0,166
Norway,Cyprus,7,436
Norway,Czech Republic,4,281
Norway,Denmark,10,226
Norway,Estonia,0,245
Norway,Finland,0,46
Norway,France,8,173
Norway,Germany,18,340
Norway,Hungary,0,93
Norway,Ireland,1,136
Norway,Israel,7,529
Norway,Italy,0,308
Norway,Lithuania,15,181
Norway,Moldova,0,209
Norway,Norway,0,144
Norway,Portugal,0,39
Norway,Serbia,0,113
Norway,Slovenia,0,64
Norway,Spain,2,61
Norway,Sweden,13,274
Norway,The Netherlands,9,121
Norway,Ukraine,0,130
Norway,United Kingdom,0,48
Poland,Albania,7,184
Poland,Australia,4,99
Poland,Austria,12,342
Poland,Bulgaria,2,166
Poland,Cyprus,8,436
Poland,Czech Republic,4,281
Poland,Denmark,6,226
Poland,Estonia,0,245
Poland,Finland,0,46
Poland,France,3,173
Poland,Germany,11,340
Poland,Hungary,10,93
Poland,Ireland,7,136
Poland,Israel,10,529
Poland,Italy,5,308
Poland,Lithuania,1,181
Poland,Moldova,0,209
Poland,Norway,0,144
Poland,Portugal,0,39
Poland,Serbia,0,113
Poland,Slovenia,0,64
Poland,Spain,0,61
Poland,Sweden,6,274
Poland,The Netherlands,8,121
Poland,Ukraine,12,130
Poland,United Kingdom,0,48
Portugal,Albania,10,184
Portugal,Australia,0,99
Portugal,Austria,8,342
Portugal,Bulgaria,7,166
Portugal,Cyprus,5,436
Portugal,Czech Republic,0,281
Portugal,Denmark,2,226
Portugal,Estonia,19,245
Portugal,Finland,0,46
Portugal,France,5,173
Portugal,Germany,8,340
Portugal,Hungary,0,93
Portugal,Ireland,3,136
Portugal,Israel,2,529
Portugal,Italy,14,308
Portugal,Lithuania,6,181
Portugal,Moldova,6,209
Portugal,Norway,0,144
Portugal,Portugal,0,39
Portugal,Serbia,0,113
Portugal,Slovenia,3,64
Portugal,Spain,14,61
Portugal,Sweden,0,274
Portugal,The Netherlands,0,121
Portugal,Ukraine,4,130
Portugal,United Kingdom,0,48
Romania,Albania,0,184
Romania,Australia,2,99
Romania,Austria,12,342
Romania,Bulgaria,5,166
Romania,Cyprus,12,436
Romania,Czech Republic,3,281
Romania,Denmark,2,226
Romania,Estonia,3,245
Romania,Finland,0,46
Romania,France,0,173
Romania,Germany,8,340
Romania,Hungary,10,93
Romania,Ireland,1,136
Romania,Israel,8,529
Romania,Italy,6,308
Romania,Lithuania,6,181
Romania,Moldova,19,209
Romania,Norway,0,144
Romania,Portugal,0,39
Romania,Serbia,0,113
Romania,Slovenia,1,64
Romania,Spain,10,61
Romania,Sweden,0,274
Romania,The Netherlands,8,121
Romania,Ukraine,0,130
Romania,United Kingdom,0,48
Russia,Albania,0,184
Russia,Australia,5,99
Russia,Austria,0,342
Russia,Bulgaria,0,166
Russia,Cyprus,11,436
Russia,Czech Republic,2,281
Russia,Denmark,7,226
Russia,Estonia,9,245
Russia,Finland,0,46
Russia,France,2,173
Russia,Germany,4,340
Russia,Hungary,0,93
Russia,Ireland,0,136
Russia,Israel,18,529
Russia,Italy,7,308
Russia,Lithuania,3,181
Russia,Moldova,24,209
Russia,Norway,5,144
Russia,Portugal,0,39
Russia,Serbia,0,113
Russia,Slovenia,0,64
Russia,Spain,0,61
Russia,Sweden,11,274
Russia,The Netherlands,0,121
Russia,Ukraine,8,130
Russia,United Kingdom,0,48
San Marino,Albania,0,184
San Marino,Australia,2,99
San Marino,Austria,0,342
San Marino,Bulgaria,0,166
San Marino,Cyprus,7,436
San Marino,Czech Republic,10,281
San Marino,Denmark,6,226
San Marino,Estonia,5,245
San Marino,Finland,0,46
San Marino,France,0,173
San Marino,Germany,14,340
San Marino,Hungary,0,93
San Marino,Ireland,4,136
San Marino,Israel,24,529
San Marino,Italy,12,308
San Marino,Lithuania,0,181
San Marino,Moldova,9,209
San Marino,Norway,0,144
San Marino,Portugal,0,39
San Marino,Serbia,3,113
San Marino,Slovenia,6,64
San Marino,Spain,0,61
San Marino,Sweden,8,274
San Marino,The Netherlands,0,121
San Marino,Ukraine,5,130
San Marino,United Kingdom,1,48
Serbia,Albania,1,184
Serbia,Australia,0,99
Serbia,Austria,4,342
Serbia,Bulgaria,2,166
Serbia,Cyprus,10,436
Serbia,Czech Republic,5,281
Serbia,Denmark,4,226
Serbia,Estonia,3,245
Serbia,Finland,0,46
Serbia,France,0,173
Serbia,Germany,10,340
Serbia,Hungary,12,93
Serbia,Ireland,0,136
Serbia,Israel,9,529
Serbia,Italy,14,308
Serbia,Lithuania,0,181
Serbia,Moldova,6,209
Serbia,Norway,9,144
Serbia,Portugal,0,39
Serbia,Serbia,0,113
Serbia,Slovenia,8,64
Serbia,Spain,0,61
Serbia,Sweden,12,274
Serbia,The Netherlands,7,121
Serbia,Ukraine,0,130
Serbia,United Kingdom,0,48
Slovenia,Albania,5,184
Slovenia,Australia,0,99
Slovenia,Austria,12,342
Slovenia,Bulgaria,0,166
Slovenia,Cyprus,14,436
Slovenia,Czech Republic,11,281
Slovenia,Denmark,7,226
Slovenia,Estonia,5,245
Slovenia,Finland,0,46
Slovenia,France,2,173
Slovenia,Germany,4,340
Slovenia,Hungary,3,93
Slovenia,Ireland,0,136
Slovenia,Israel,1,529
Slovenia,Italy,10,308
Slovenia,Lithuania,0,181
Slovenia,Moldova,6,209
Slovenia,Norway,5,144
Slovenia,Portugal,0,39
Slovenia,Serbia,12,113
Slovenia,Slovenia,0,64
Slovenia,Spain,0,61
Slovenia,Sweden,12,274
Slovenia,The Netherlands,7,121
Slovenia,Ukraine,0,130
Slovenia,United Kingdom,0,48
Spain,Albania,0,184
Spain,Australia,0,99
Spain,Austria,8,342
Spain,Bulgaria,5,166
Spain,Cyprus,20,436
Spain,Czech Republic,14,281
Spain,Denmark,0,226
Spain,Estonia,3,245
Spain,Finland,0,46
Spain,France,10,173
Spain,Germany,13,340
Spain,Hungary,0,93
Spain,Ireland,6,136
Spain,Israel,22,529
Spain,Italy,10,308
Spain,Lithuania,0,181
Spain,Moldova,0,209
Spain,Norway,3,144
Spain,Portugal,0,39
Spain,Serbia,0,113
Spain,Slovenia,0,64
Spain,Spain,0,61
Spain,Sweden,2,274
Spain,The Netherlands,0,121
Spain,Ukraine,0,130
Spain,United Kingdom,0,48
Sweden,Albania,0,184
Sweden,Australia,8,99
Sweden,Austria,12,342
Sweden,Bulgaria,6,166
Sweden,Cyprus,16,436
Sweden,Czech Republic,3,281
